naics3,year,model,n,n_params,loglik,aic,bic,delta_aic_vs_poisson,delta_aic_vs_nb2,is_best_by_aic,converged,dispersion_alpha,zero_inflation_pi,observed_zeros,expected_zeros,p_boundary_nb2_vs_poisson,p_boundary_zinb_vs_nb2,lr_zinb_vs_nb2,coef_size_band,is_best_by_aic_converged,p_boundary_zinb_vs_nb2_converged_only
491,2024,poisson,9260,7,-20263.925185067234,40541.85037013447,40591.78458542795,0.0,2699.203333227626,False,True,,,1197,1521.308918059303,0.0,0.5,0.0,size_band[020-049]=-0.9331;size_band[050-099]=-0.7865;size_band[100-249]=-0.8135;size_band[250-499]=-1.1294;size_band[500-999]=-1.1744;size_band[1000+]=-1.1824,False,0.5
491,2024,nb2,9260,8,-18913.32351845342,37842.64703690684,37899.714711527966,-2699.203333227626,0.0,True,True,0.251508448682431,,1197,1884.1137645163635,0.0,0.5,0.0,size_band[020-049]=-1.0203;size_band[050-099]=-0.8629;size_band[100-249]=-0.8918;size_band[250-499]=-1.1985;size_band[500-999]=-1.2392;size_band[1000+]=-1.2524,True,0.5
491,2024,zip,9260,8,-20183.258507389837,40382.517014779674,40439.5846894008,-159.33335535479273,2539.8699778728333,False,True,,0.0240225211492388,1197,1664.0074784051233,0.0,0.5,0.0,size_band[020-049]=-0.8952;size_band[050-099]=-0.7499;size_band[100-249]=-0.8108;size_band[250-499]=-1.1296;size_band[500-999]=-1.1747;size_band[1000+]=-1.1826,False,0.5
491,2024,zinb,9260,9,-18913.32405551534,37844.64811103068,37908.84924497944,-2697.2022591037894,2.001074123836588,False,True,0.2515078699612572,2.573902709211105e-07,1197,1884.115035817224,0.0,0.5,0.0,size_band[020-049]=-1.0203;size_band[050-099]=-0.8629;size_band[100-249]=-0.8918;size_band[250-499]=-1.1985;size_band[500-999]=-1.2392;size_band[1000+]=-1.2524,False,0.5
484,2024,poisson,8927,9,-19879.311127726836,39776.62225545367,39840.49377649429,0.0,6450.456273641721,False,True,,,3150,2408.1481639234853,0.0,0.0053326183004046,6.520260737073841,size_band[020-049]=-0.1800;size_band[050-099]=-0.1485;size_band[100-249]=-0.2687;size_band[250-499]=-0.3119;size_band[500-999]=-0.6438;size_band[1000+]=-0.8929,False,0.0053326183004046
484,2024,nb2,8927,10,-16653.082990905976,33326.16598181195,33397.13433852375,-6450.456273641721,0.0,False,True,0.6108494220639146,,3150,3132.1453707574747,0.0,0.0053326183004046,6.520260737073841,size_band[020-049]=-0.1793;size_band[050-099]=-0.1256;size_band[100-249]=-0.2250;size_band[250-499]=-0.2986;size_band[500-999]=-0.6232;size_band[1000+]=-1.0019,False,0.0053326183004046
484,2024,zip,8927,10,-19078.369303367297,38176.738606734594,38247.70696344639,-1599.8836487190783,4850.572624922643,False,True,,0.1354552716449576,3150,3004.9039444852815,0.0,0.0053326183004046,6.520260737073841,size_band[020-049]=-0.1639;size_band[050-099]=-0.1881;size_band[100-249]=-0.3665;size_band[250-499]=-0.4402;size_band[500-999]=-0.7594;size_band[1000+]=-1.0569,False,0.0053326183004046
484,2024,zinb,8927,11,-16649.82286053744,33321.64572107488,33399.71091345785,-6454.976534378795,-4.520260737073841,True,True,0.5692651131475562,0.0157454675284905,3150,3147.517230356457,0.0,0.0053326183004046,6.520260737073841,size_band[020-049]=-0.1796;size_band[050-099]=-0.1279;size_band[100-249]=-0.2273;size_band[250-499]=-0.2984;size_band[500-999]=-0.6110;size_band[1000+]=-1.0172,True,0.0053326183004046
236,2024,poisson,8369,8,-15705.68020626611,31427.36041253222,31483.618729988484,0.0,7788.643510736303,False,True,,,4679,3405.7000191320635,0.0,0.5,0.0,size_band[020-049]=0.0160;size_band[050-099]=-0.1028;size_band[100-249]=-0.3883;size_band[250-499]=-0.5488;size_band[500-999]=-0.8487;size_band[1000+]=-1.2582,False,
236,2024,nb2,8369,9,-11810.358450897958,23638.716901795917,23702.007508934217,-7788.643510736303,0.0,True,True,1.5512123195234748,,4679,4707.490831945856,0.0,0.5,0.0,size_band[020-049]=0.0402;size_band[050-099]=-0.0449;size_band[100-249]=-0.3312;size_band[250-499]=-0.4150;size_band[500-999]=-0.8233;size_band[1000+]=-1.0108,True,
