label,n_filings,n_implausible,implausible_share,hours_total,hours_share_implausible,cases_total,cases_share_implausible,aggregate_trir_unscreened,aggregate_trir_screened,ratio_screened_to_unscreened,median_establishment_trir_screened
39,4,0,0.0,2929522.0,0.0,55.0,0.0,3.7548787822723297,3.7548787822723297,1.0,3.9660451051842713
40,2,0,0.0,462810.0,0.0,4.0,0.0,1.7285711198980143,1.7285711198980143,1.0,1.759406943216926
41,2,0,0.0,92475.0,0.0,0.0,,0.0,0.0,,0.0
42,241482,3366,0.013938927125003105,41585625614.0,0.28952227603248293,567147.0,0.014075715819708118,2.727610762739456,3.7850837514777713,1.3876920428618085,0.0
43,41,1,0.024390243902439025,8591783.0,0.0007395438176220233,199.0,0.0,4.6323330093416,4.635761357993875,1.0007400911474544,3.2338959260860882
44,330667,3067,0.009275192262911026,164623012150.0,0.7544546484292961,1056225.0,0.006184288385523918,1.2832045607786553,5.193618390898236,4.047381492898312,3.8461538461538463
45,184861,1801,0.009742455141971536,34979292120.0,0.0656060649005495,847577.0,0.001622271486838364,4.846164394020905,5.178011562317126,1.0684762507655843,3.1497148069055227
46,9,0,0.0,2119755.0,0.0,22.0,0.0,2.075711579875976,2.075711579875976,1.0,1.058432531982303
48,133384,2809,0.021059497390991423,39737850952.0,0.3197657742072856,656247.0,0.013130726692845833,3.3028811789177603,4.791749408168867,1.4507786228443607,2.9961390139360797
49,169257,1528,0.009027691616890291,41876714079.0,0.0669250932800725,1281642.0,0.0055202622885329915,6.121024670570835,6.523843868348559,1.0658091119472906,5.750265949800179
50,4,0,0.0,67818.0,0.0,0.0,,0.0,0.0,,0.0
51,19068,297,0.015575833857772184,7571394779.0,0.10843722470755081,41722.0,0.012966780116005943,1.1020954848562388,1.22011022126899,1.1070821340204888,0.0
52,7315,338,0.04620642515379358,3364286446.0,0.2580838106197334,8326.0,0.07170309872687966,0.4949637989297419,0.619306287375473,1.2512153186043027,0.0
53,53665,2596,0.04837417311096618,9149308703.0,0.5012116389182896,76848.0,0.021366854049552363,1.6798646213522566,3.295929350876542,1.9620208134530428,0.0
54,29339,581,0.019802992603701556,19143888360.0,0.4124572883792141,52272.0,0.02508034894398531,0.5460959551897429,0.9061463405920157,1.6593170705268676,0.0
55,14437,248,0.017178084089492278,11548229538.0,0.38654572489326283,21362.0,0.01563524014605374,0.3699614720976461,0.5936498454970379,1.6046261307457237,0.0
56,136735,6242,0.04565034555892785,32728251527.0,0.3844472129413918,317484.0,0.021638885739123863,1.9401219752792693,3.0836346409971034,1.5894024604062496,0.0
57,1,0,0.0,101862.0,0.0,7.0,0.0,13.744085134790206,13.744085134790206,1.0,13.744085134790206
59,9,1,0.1111111111111111,268683.0,0.0007443716200876125,3.0,0.0,2.2331148602628375,2.234778365855566,1.0007449261219519,0.0
60,1,0,0.0,121200.0,0.0,1.0,0.0,1.6501650165016502,1.6501650165016502,1.0,1.6501650165016502
61,24707,845,0.034200833771805564,18200285982.0,0.2705247920757644,166526.0,0.01446020441252417,1.8299272897655945,2.472278903387815,1.3510257578072968,2.0378219792571883
