naics3,model,count,observed,expected
621,poisson,8,110.0,149.47443839290503
621,poisson,9,94.0,121.45569444579148
621,poisson,10+,709.0,751.8350064912968
621,nb2,0,6478.0,6623.009933476285
621,nb2,1,2253.0,2208.6326190339314
621,nb2,2,1207.0,1092.3938443351344
621,nb2,3,711.0,643.2543828754094
621,nb2,4,428.0,419.12777492237706
621,nb2,5,323.0,292.2967502876113
621,nb2,6,207.0,214.19839551353994
621,nb2,7,150.0,163.03258108139883
621,nb2,8,110.0,127.85946045281258
621,nb2,9,94.0,102.72672530284542
621,nb2,10+,709.0,783.4675327186537
621,zip,0,6478.0,6351.465066272349
621,zip,1,2253.0,2069.1328477532747
621,zip,2,1207.0,1230.235276175291
621,zip,3,711.0,774.8900494760835
621,zip,4,428.0,507.3810601410455
621,zip,5,323.0,344.97668607577043
621,zip,6,207.0,244.7817593992335
621,zip,7,150.0,181.75384103555382
621,zip,8,110.0,140.66646297540154
621,zip,9,94.0,112.45196253049157
621,zip,10+,709.0,712.2649881655061
621,zinb,0,6478.0,6623.597877866383
621,zinb,1,2253.0,2189.2527805473496
621,zinb,2,1207.0,1096.1079413174214
621,zinb,3,711.0,647.6178221417763
621,zinb,4,428.0,422.114416754565
621,zinb,5,323.0,294.157440817202
621,zinb,6,207.0,215.32782568985013
621,zinb,7,150.0,163.7105685348485
621,zinb,8,110.0,128.26098092909893
621,zinb,9,94.0,102.95806956260371
621,zinb,10+,709.0,786.8942758389021
424,poisson,0,4537.0,3909.658611316443
424,poisson,1,1824.0,1984.020089303176
424,poisson,2,894.0,1034.6221546834834
424,poisson,3,564.0,607.7028203993957
424,poisson,4,375.0,406.4090314360602
424,poisson,5,259.0,300.8499205457716
424,poisson,6,229.0,238.8173574472953
424,poisson,7,170.0,198.5590841652534
424,poisson,8,140.0,169.99885597518715
424,poisson,9,135.0,148.0307641701467
424,poisson,10+,1203.0,1331.3313105577874
424,nb2,0,4537.0,4467.818314452459
424,nb2,1,1824.0,1850.2863449057418
424,nb2,2,894.0,954.8772075760185
424,nb2,3,564.0,575.726646630414
424,nb2,4,375.0,387.6790232153764
424,nb2,5,259.0,282.417279719116
424,nb2,6,229.0,217.5057750152435
424,nb2,7,170.0,174.26747477347317
424,nb2,8,140.0,143.6696293889732
424,nb2,9,135.0,120.97519394843772
424,nb2,10+,1203.0,1154.7771103747466
424,zip,0,4537.0,4354.71716970376
424,zip,1,1824.0,1751.9954810808201
424,zip,2,894.0,972.5004356721239
424,zip,3,564.0,587.7981127697171
424,zip,4,375.0,396.3812641498247
424,zip,5,259.0,293.7052740034618
424,zip,6,229.0,232.37250321680298
424,zip,7,170.0,191.67053197326416
424,zip,8,140.0,162.2932707307058
424,zip,9,135.0,139.7779643046165
424,zip,10+,1203.0,1246.7879923949029
424,zinb,0,4537.0,4490.436193869019
424,zinb,1,1824.0,1827.2254615510174
424,zinb,2,894.0,950.7058664674704
424,zinb,3,564.0,574.233045429625
424,zinb,4,375.0,386.9239627914573
424,zinb,5,259.0,282.1273950475389
424,zinb,6,229.0,217.5608533670671
424,zinb,7,170.0,174.55953580579944
424,zinb,8,140.0,144.108322869819
424,zinb,9,135.0,121.49299172410679
424,zinb,10+,1203.0,1160.6263710770788
332,poisson,0,3051.0,1999.938904905725
