model,params,loglik,n,k,converged,aic,bic,observed_zeros,expected_zeros,zero_ratio_observed_over_expected,naics3,year,naics3_title,modal_establishment_industry_description,is_best_by_aic,zero_inflation_pi,dispersion_alpha,observed_mean,observed_variance,variance_to_mean_ratio
nb2,"{'mu': 5.373673523620431, 'alpha': 0.5819934938900385}",-22510.4230049396,6561,2,True,45024.8460098792,45038.423806497885,1137,931.7414522815939,1.220295605841922,622,2024,Hospitals,General medical and surgical hospitals,False,,0.5819934938900385,34.11217802164304,5295.29697256151,155.23186379954458
zip,"{'mu': 5.0581960161902435, 'pi': 0.045188293923161676}",-51000.76813287147,6561,2,True,102005.53626574294,102019.11406236162,1137,947.3963916939854,1.2001312333130119,622,2024,Hospitals,General medical and surgical hospitals,False,0.045188293923161676,,34.11217802164304,5295.29697256151,155.23186379954458
zinb,"{'mu': 5.511102380279456, 'alpha': 0.44815716780808107, 'pi': 0.026838156035413268}",-22292.80467115426,6561,3,True,44591.60934230852,44611.976037236556,1137,996.2993052840734,1.1412233191067105,622,2024,Hospitals,General medical and surgical hospitals,True,0.026838156035413268,0.44815716780808107,34.11217802164304,5295.29697256151,155.23186379954458
poisson,{'mu': 3.409932464352427},-24117.354958228567,6432,1,True,48236.709916457134,48243.478957267995,1329,1104.5193987321477,1.2032382604828202,311,2024,Food Manufacturing,Animal feed mills (except dog and cat) manufacturing,False,,,7.090174129353234,164.06276414878346,23.13945485056081
nb2,"{'mu': 4.013563998325156, 'alpha': 0.5594033112146247}",-16183.919626799341,6432,2,True,32371.839253598682,32385.3773352204,1329,1388.9561824735101,0.95683364008882,311,2024,Food Manufacturing,Animal feed mills (except dog and cat) manufacturing,True,,0.5594033112146247,7.090174129353234,164.06276414878346,23.13945485056081
zip,"{'mu': 3.4798382133813894, 'pi': 0.03295430715352346}",-23728.637143621974,6432,2,True,47461.27428724395,47474.81236886566,1329,1261.2508211668164,1.0537158649938536,311,2024,Food Manufacturing,Animal feed mills (except dog and cat) manufacturing,False,0.03295430715352346,,7.090174129353234,164.06276414878346,23.13945485056081
zinb,"{'mu': 4.013564130998299, 'alpha': 0.559403307874045, 'pi': 2.3836436553304834e-15}",-16183.91962679934,6432,3,True,32373.83925359868,32394.146376031254,1329,1388.9561479310594,0.9568336638846605,311,2024,Food Manufacturing,Animal feed mills (except dog and cat) manufacturing,False,2.3836436553304834e-15,0.559403307874045,7.090174129353234,164.06276414878346,23.13945485056081
poisson,{'mu': 8.980678109031347},-33864.27777924907,6146,1,True,67730.55555849813,67737.27911524082,831,386.9721290286207,2.1474414761755067,492,2024,Couriers and Messengers,Couriers and Express Delivery Services,False,,,11.19492352749756,604.7592713332343,54.02084881131995
nb2,"{'mu': 10.792050238552891, 'alpha': 0.6459402649241285}",-18505.84219949782,6146,2,True,37015.68439899564,37029.13151248102,831,741.9857368255842,1.1199676203416562,492,2024,Couriers and Messengers,Couriers and Express Delivery Services,False,,0.6459402649241285,11.19492352749756,604.7592713332343,54.02084881131995
zip,"{'mu': 9.293356408466801, 'pi': 0.06367752184365418}",-32632.137382452576,6146,2,True,65268.27476490515,65281.721878390534,831,738.5389100892169,1.1251946087710039,492,2024,Couriers and Messengers,Couriers and Express Delivery Services,False,0.06367752184365418,,11.19492352749756,604.7592713332343,54.02084881131995
