naics3,size_band,n,n_with_metric,zero_share,hours_total,aggregate_trir,p10,p25,p50,p75,p90,p95,publishable
322,250-499,1520,1520,0.038157894736842106,1087268663.0,2.1102420018887273,0.40072191347036146,0.9033822382842527,1.6391487228398245,2.8315287421799376,4.586319867602141,6.043307797731795,True
322,500-999,572,572,0.017482517482517484,803164694.0,1.7530651067189464,0.5143376699328056,0.8325348380850349,1.461107239760484,2.2560251173973804,3.561824997331501,4.4157416829369955,True
323,001-019,857,857,0.7957992998833139,17892284.0,2.548584630112064,0.0,0.0,0.0,0.0,9.239845689247689,15.210863036949954,True
323,020-049,4653,4653,0.5267569310122502,291593299.0,2.8327125583225423,0.0,0.0,0.0,4.408490753190645,8.084139815543939,10.808357392892972,True
323,050-099,3646,3646,0.29402084476138235,506530841.0,2.7449463832351326,0.0,0.0,1.9243999484420762,4.055263163582087,6.772020096278499,8.813735783773934,True
323,100-249,3430,3430,0.1043731778425656,1035734762.0,2.883363684958563,0.0,1.0879027465417823,2.3983693035487548,4.006410256410256,6.071459104980384,7.510295473501069,True
323,1000+,40,40,0.05,97380325.0,2.493316796796478,0.6549794674006488,1.2086011023954968,2.1863501126952403,3.480813971707481,5.077072335617681,5.892912637872025,True
323,250-499,1014,1014,0.04339250493096647,657227271.0,2.7031745004993866,0.6184398863716775,1.3384585794504225,2.2951560437271414,3.735605261327322,5.47483060034643,6.389201997954085,True
323,500-999,293,293,0.0034129692832764505,385193285.0,2.8063832940389912,0.6540743735199435,1.4164406263500449,2.361458052756449,3.8240040381482645,5.415259559163269,7.0880181392139,True
324,001-019,702,702,0.8076923076923077,13259184.0,2.6396797872327586,0.0,0.0,0.0,0.0,10.930104265396373,17.402542855633577,True
324,020-049,1444,1444,0.546398891966759,88816323.0,2.7022059897705963,0.0,0.0,0.0,4.322665873987489,8.362060532928563,10.986307887615462,True
324,050-099,879,879,0.31968145620022753,127662000.0,2.3765881781579483,0.0,0.0,1.6968997641309327,3.8392592963437018,6.438895967483184,8.443209835344877,True
324,100-249,853,853,0.24150058616647127,275408964.0,1.6441004440218583,0.0,0.38109973951832804,1.148748582013469,2.4739411531864364,4.132572120426172,5.707922696876713,True
324,1000+,105,105,0.13333333333333333,300235152.0,0.3517243044212225,0.0,0.10182920899579598,0.23909495387111168,0.49215141530443257,0.7350588108684813,1.0944058076474916,True
324,250-499,434,434,0.21889400921658986,333341952.0,1.0019740929578524,0.0,0.19837232121972542,0.48274621758744507,1.1051029653541302,2.152759575372702,4.139313438928963,True
324,500-999,286,286,0.19230769230769232,422018125.0,0.47817851425220187,0.0,0.12725634973163744,0.27024366068532923,0.5834311809761936,1.0074558061279,2.2520151911319797,True
325,001-019,3767,3767,0.7541810459251393,78717761.0,3.5316045129891336,0.0,0.0,0.0,0.0,12.56328775146094,20.576923076923062,True
325,020-049,13876,13876,0.512827904295186,922784671.0,2.92267533776577,0.0,0.0,0.0,4.435979147194031,8.52787549689397,11.790271851598616,True
325,050-099,10278,10278,0.3362521891418564,1458562270.0,2.64959548144626,0.0,0.0,1.6812869902986782,3.8784027942864068,6.933154501518863,9.209018959133681,True
325,100-249,8764,8764,0.2149703331811958,2723651913.0,2.119213535492632,0.0,0.5223966247966794,1.4370398072399895,3.0790858968776287,5.344866853720962,7.260890403232903,True
325,1000+,737,737,0.016282225237449117,3487776826.0,0.7789489223471319,0.13325361267515862,0.3211062753398007,0.6891167934616599,1.2560945351700676,1.9784860154221935,2.6904396939646946,True
