naics3,model,count,observed,expected
424,nb2,10+,1203.0,983.6711406999824
424,zip,0,4537.0,4266.70924799745
424,zip,1,1824.0,1587.2372500921708
424,zip,2,894.0,1054.8306803636797
424,zip,3,564.0,697.2751713279829
424,zip,4,375.0,477.42084531964645
424,zip,5,259.0,346.8246639581002
424,zip,6,229.0,266.3929041947574
424,zip,7,170.0,212.99010335252194
424,zip,8,140.0,174.83795956536542
424,zip,9,135.0,146.17085537814683
424,zip,10+,1203.0,1099.3103184501783
424,zinb,0,4537.0,4299.324737657116
424,zinb,1,1824.0,1833.4334144354084
424,zinb,2,894.0,1042.1286283684299
424,zinb,3,564.0,660.9242949927228
424,zinb,4,375.0,451.6281712942231
424,zinb,5,259.0,326.5152009101265
424,zinb,6,229.0,246.673948394809
424,zinb,7,170.0,192.892160633637
424,zinb,8,140.0,154.97768866578605
424,zinb,9,135.0,127.2102891606834
424,zinb,10+,1203.0,994.2914654870575
332,poisson,0,3051.0,2481.31918839304
332,poisson,1,1969.0,2258.142980469745
332,poisson,2,1287.0,1567.5484921902093
332,poisson,3,934.0,1020.3171878448309
332,poisson,4,613.0,671.439606450064
332,poisson,5,449.0,455.85803760164407
332,poisson,6,325.0,319.4617272315849
332,poisson,7,267.0,230.21197350471903
332,poisson,8,176.0,169.97961630078103
332,poisson,9,156.0,128.25786570495282
332,poisson,10+,646.0,570.4633243084286
332,nb2,0,3051.0,3249.2890212003367
332,nb2,1,1969.0,1973.028772071837
332,nb2,2,1287.0,1232.1680573457174
332,nb2,3,934.0,807.8376344921382
332,nb2,4,613.0,554.6066235857553
332,nb2,5,449.0,396.34274709011027
332,nb2,6,325.0,292.9905437885925
332,nb2,7,267.0,222.7858682627633
332,nb2,8,176.0,173.43255708934058
332,nb2,9,156.0,137.69954187477336
332,nb2,10+,646.0,832.8186331986359
332,zip,0,3051.0,2993.4078165587016
332,zip,1,1969.0,1997.4885375017998
332,zip,2,1287.0,1430.600323683624
332,zip,3,934.0,952.859075453315
332,zip,4,613.0,637.8124086431387
332,zip,5,449.0,438.9390138279573
332,zip,6,325.0,311.1509573104481
332,zip,7,267.0,226.44996520931187
332,zip,8,176.0,168.61691630540955
332,zip,9,156.0,128.11736861068627
332,zip,10+,646.0,587.5576168956078
332,zinb,0,3051.0,3249.2890555273
332,zinb,1,1969.0,1973.0287700437532
332,zinb,2,1287.0,1232.1680509313385
332,zinb,3,934.0,807.8376288627429
332,zinb,4,613.0,554.6066192836744
332,zinb,5,449.0,396.342743873348
332,zinb,6,325.0,292.9905413652719
332,zinb,7,267.0,222.7858664093586
332,zinb,8,176.0,173.43255564885132
332,zinb,9,156.0,137.69954073829018
332,zinb,10+,646.0,832.8186273160709
493,poisson,0,3876.0,2244.3789954427275
493,poisson,1,1720.0,1741.1573878761317
493,poisson,2,952.0,1221.623916764436
493,poisson,3,575.0,846.7701681632941
493,poisson,4,430.0,602.3226714503326
493,poisson,5,278.0,445.72725982806026
493,poisson,6,218.0,342.6873614320599
493,poisson,7,167.0,271.7235280474855
493,poisson,8,152.0,220.54954979231496
493,poisson,9,140.0,182.2622790655001
493,poisson,10+,1267.0,1655.7968821376571
493,nb2,0,3876.0,3681.4301014299836
493,nb2,1,1720.0,1742.3872165208027
493,nb2,2,952.0,1000.339319092119
493,nb2,3,575.0,642.2815549751462
493,nb2,4,430.0,444.6112222492848
493,nb2,5,278.0,325.082754781003
493,nb2,6,218.0,247.74320718464176
493,nb2,7,167.0,194.9834369014922
493,nb2,8,152.0,157.43103127656374
493,nb2,9,140.0,129.76095685246568
493,nb2,10+,1267.0,1208.949198736498
493,zip,0,3876.0,3581.1005201871185
493,zip,1,1720.0,1370.7125893916038
493,zip,2,952.0,983.0142208766199
493,zip,3,575.0,692.4175771644154
493,zip,4,430.0,497.51854562653546
493,zip,5,278.0,370.3895597311752
493,zip,6,218.0,285.9609287967797
493,zip,7,167.0,227.60006447187402
493,zip,8,152.0,185.42513842241297
493,zip,9,140.0,153.77538825949512
493,zip,10+,1267.0,1427.0854670719696
493,zinb,0,3876.0,3681.430085956717
493,zinb,1,1720.0,1742.3872147802897
493,zinb,2,952.0,1000.3393200061444
493,zinb,3,575.0,642.28155638564
493,zinb,4,430.0,444.61122362484605
493,zinb,5,278.0,325.08275599848287
493,zinb,6,218.0,247.74320823425535
493,zinb,7,167.0,194.98343780305436
493,zinb,8,152.0,157.43103205447295
493,zinb,9,140.0,129.76095752864956
493,zinb,10+,1267.0,1208.9492076274478
452,poisson,0,1590.0,761.3396771421108
452,poisson,1,1208.0,954.6255640780893
452,poisson,2,807.0,851.8855306890184
452,poisson,3,660.0,690.8414830072647
452,poisson,4,489.0,582.8189987129625
452,poisson,5,432.0,526.1612686975263
452,poisson,6,326.0,492.84281594482013
452,poisson,7,346.0,465.9168728730378
452,poisson,8,318.0,441.0821056672871
452,poisson,9,329.0,419.2286392306194
452,poisson,10+,3139.0,3457.257043957263
452,nb2,0,1590.0,1040.738563184634
452,nb2,1,1208.0,1104.122075364482
452,nb2,2,807.0,938.3523437984023
452,nb2,3,660.0,773.3582451202752
452,nb2,4,489.0,656.1448603541613
452,nb2,5,432.0,575.3043661693781
452,nb2,6,326.0,514.510826389975
452,nb2,7,346.0,463.81244009162543
452,nb2,8,318.0,418.5680037363426
452,nb2,9,329.0,376.95649838763904
452,nb2,10+,3139.0,2782.131777403085
452,zip,0,1590.0,1095.5886479929416
452,zip,1,1208.0,903.9644438706698
452,zip,2,807.0,811.874496652634
452,zip,3,660.0,659.1534393226505
452,zip,4,489.0,554.6921374308964
452,zip,5,432.0,499.77117164273454
452,zip,6,326.0,468.12265293381233
452,zip,7,346.0,442.9082241316804
452,zip,8,318.0,419.4656063793971
452,zip,9,329.0,398.5894693112274
452,zip,10+,3139.0,3389.869710331356
452,zinb,0,1590.0,1105.6259874068605
452,zinb,1,1208.0,1075.9207718523905
452,zinb,2,807.0,919.1114493379797
452,zinb,3,660.0,758.5589502727647
452,zinb,4,489.0,644.7158070799043
452,zinb,5,432.0,567.1227884751193
452,zinb,6,326.0,509.31177554067807
452,zinb,7,346.0,461.1281938444761
452,zinb,8,318.0,417.8719662759082
452,zinb,9,329.0,377.755978466097
452,zinb,10+,3139.0,2806.8763314478215
491,poisson,0,1197.0,2019.9082573921378
491,poisson,1,2981.0,1810.114027702859
491,poisson,2,1434.0,1435.8504632475956
491,poisson,3,910.0,1075.9490049851936
491,poisson,4,624.0,789.2556830445491
