year_filing_for,naics3,size_band,n,n_with_metric,zero_share,hours_total,aggregate_trir,p10,p25,p50,p75,p90,p95,publishable
2016.0,115,100-249,75,75,0.17333333333333334,22334654.0,4.3878002318728555,0.0,0.9417285564340323,3.1324886055726973,6.209538851551173,9.645723618808633,13.902739054211962,True
2016.0,115,1000+,1,1,0.0,1517285.0,6.722533999874776,6.722533999874776,6.722533999874776,6.722533999874776,6.722533999874776,6.722533999874776,6.722533999874776,False
2016.0,115,250-499,17,17,0.058823529411764705,9799629.0,4.061378241972221,0.46873575533474154,1.6665833374997916,2.770850651149903,7.122661127949704,9.4959782908955,10.231221162268636,False
2016.0,115,500-999,5,5,0.0,6864792.0,2.447270070236651,0.46678549584789075,0.9195757445345015,1.6179637117705512,1.8126888217522659,6.959713739839328,8.675388712535012,False
2016.0,145,050-099,1,1,0.0,22551.0,26.60635891978183,26.60635891978183,26.60635891978183,26.60635891978183,26.60635891978183,26.60635891978183,26.60635891978183,False
2016.0,211,001-019,40,40,0.875,802432.0,1.2462115169883554,0.0,0.0,0.0,0.0,6.336602479722616,11.116722783389449,True
2016.0,211,020-049,80,80,0.6375,4280292.0,1.6354024445061224,0.0,0.0,0.0,3.141838924800397,4.683677321638272,6.893870877327775,True
2016.0,211,050-099,29,29,0.3448275862068966,3928369.0,1.7819099987806644,0.0,0.0,1.4281939773059977,2.212658619964819,5.091918051422901,5.246085108987418,False
2016.0,211,100-249,42,42,0.5476190476190477,13264712.0,0.46740554940054485,0.0,0.0,0.0,0.8305420993603122,1.2361226269226886,1.8227327439209304,True
2016.0,211,1000+,13,13,0.38461538461538464,43179008.0,0.25938530130196596,0.0,0.0,0.04565795162905289,0.30274063528608613,1.199859904756762,1.3842124479449236,False
2016.0,211,250-499,31,31,0.4838709677419355,23343855.0,0.4969187822662538,0.0,0.0,0.2222222222222222,0.8443308696430857,1.0075630199182615,1.4525535143538426,True
2016.0,211,500-999,18,18,0.4444444444444444,27390056.0,0.46002096527294434,0.0,0.0,0.10795422194312496,0.42987021977434764,0.8845391176708391,1.3011780255536638,False
2016.0,212,001-019,28,28,0.7857142857142857,463951.0,3.017560044056377,0.0,0.0,0.0,0.0,18.755317919150414,50.96232047544753,False
